# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	2003
#@/user_id	e778cdc0-6bca-4148-ae83-6766ddb9099d
a 	啊	c=5 d=2.59854 t=2003
deng jia 	等價	c=1 d=0.818731 t=2003
deng xin rong 	燈芯絨	c=2 d=1.51159 t=2003
di 	低	c=0 d=0.0189191 t=2003
di san fang 	第三方	c=1 d=0.585669 t=2003
di wei 	地位	c=0 d=0.00193512 t=2003
di xin zao 	低信噪	c=1 d=0.210531 t=2003
di xin zao bi 	低信噪比	c=1 d=0.204948 t=2003
di yi ge 	第一個	c=1 d=0.603506 t=2003
di yi ti 	第一題	c=1 d=0.839457 t=2003
di zhi 	地址	c=1 d=0.790571 t=2003
dian ji 	點擊	c=1 d=0.386741 t=2003
dian nao 	電腦	c=1 d=0.315058 t=2003
dian ying 	電影	c=1 d=0.440432 t=2003
dian zi xin xi 	電子信息	c=2 d=0.250192 t=2003
die dai 	迭代	c=1 d=0.289384 t=2003
ding yi 	定義	c=1 d=0.637628 t=2003
ding yue 	訂閱	c=2 d=0.714334 t=2003
dong xi nan bei 	東西南北	c=0 d=0.00434998 t=2003
dong xi nan bei zhong 	東西南北中	c=1 d=0.0437178 t=2003
dou 	都	c=0 d=0.00368832 t=2003
dou jiang 	豆漿	c=1 d=0.647265 t=2003
dou jiang 	都將	c=1 d=0.644036 t=2003
dou ju you 	都具有	c=1 d=0.037068 t=2003
dou shi 	都是	c=1 d=0.0361528 t=2003
dou xing 	都行	c=1 d=0.522046 t=2003
dou you 	都有	c=2 d=0.581674 t=2003
dou zheng xing 	鬥爭性	c=1 d=0.0376283 t=2003
du shi 	毒師	c=2 d=1.90737 t=2003
duan 	短	c=1 d=0.199888 t=2003
duan kou 	端口	c=1 d=0.657047 t=2003
duan zheng 	端正	c=0 d=0.0640824 t=2003
duan zheng ji ji 	端正積極	c=1 d=0.644036 t=2003
dui 	對	c=1 d=0.955997 t=2003
dui jiao 	對角	c=1 d=0.535261 t=2003
dui shu 	對數	c=0 d=0.0588605 t=2003
dui shu yun suan 	對數運算	c=1 d=0.591555 t=2003
dui yu 	對於	c=3 d=1.11868 t=2003
duo 	多	c=1 d=0.193698 t=2003
duo ge 	多個	c=1 d=0.543351 t=2003
duo he shui 	多喝水	c=0 d=0.00502874 t=2003
duo he shui shui 	多喝水水	c=1 d=0.0505395 t=2003
duo shao 	多少	c=1 d=0.250324 t=2003
duo shao ren 	多少人	c=1 d=0.102284 t=2003
duo wen jian 	多文件	c=2 d=0.366282 t=2003
duo xiang shi 	多項式	c=0 d=0.0818731 t=2003
en 	嗯	c=2 d=1.72616 t=2003
en 	恩	c=1 d=0.839457 t=2003
er 	二	c=1 d=0.283654 t=2003
er 	而	c=1 d=0.50409 t=2003
er lai 	而來	c=1 d=0.701173 t=2003
er shi 	而是	c=1 d=0.251796 t=2003
er shi shi yong 	而是使用	c=1 d=0.219808 t=2003
fa 	法	c=3 d=0.751637 t=2003
fa 	發	c=1 d=0.516851 t=2003
fa xing ban 	發行版	c=1 d=0.97531 t=2003
fa yan 	發言	c=1 d=0.67368 t=2003
fa zhan 	發展	c=3 d=0.101697 t=2003
fa zhan jie duan 	發展階段	c=1 d=0.0290133 t=2003
fa zhan shi qi 	發展時期	c=1 d=0.0413782 t=2003
fa zhan wen ti de guan jian 	發展問題的關鍵	c=1 d=0.0422141 t=2003
fan 	范	c=1 d=0.878095 t=2003
fan qiang 	翻牆	c=0 d=0.0726149 t=2003
fan qiang ruan jian 	翻牆軟件	c=1 d=0.729789 t=2003
fan ti zi 	繁體字	c=1 d=0.814647 t=2003
fan yi 	翻譯	c=14 d=5.8521 t=2003
fan yi de 	翻譯的	c=1 d=0.472367 t=2003
fan yi guo 	翻譯過	c=1 d=0.467666 t=2003
fan ying 	反應	c=1 d=0.302704 t=2003
fang fa 	方法	c=4 d=2.1637 t=2003
fang fa lun 	方法論	c=2 d=0.98538 t=2003
fang fang mian mian 	方方面面	c=0 d=0.00186856 t=2003
fang fang mian mian de 	方方面面的	c=1 d=0.0187793 t=2003
fang kuai 	方塊	c=2 d=1.59309 t=2003
fang mian 	方面	c=1 d=0.0430669 t=2003
fang shi 	方式	c=1 d=0.474734 t=2003
fei 	非	c=0 d=0.099005 t=2003
fei chang 	非常	c=1 d=0.792288 t=2003
fei chang yuan yi 	非常願意	c=1 d=0.0963276 t=2003
fei qi yi 	非奇異	c=1 d=0.995012 t=2003
fen bie 	分別	c=1 d=0.418952 t=2003
fen ge 	分割	c=1 d=0.25924 t=2003
fen jie 	分解	c=1 d=0.99005 t=2003
fen lei 	分類	c=3 d=0.778801 t=2003
fen ping 	分屏	c=3 d=1.80517 t=2003
fen xi 	分析	c=1 d=0.847894 t=2003
fu 	付	c=1 d=0.704688 t=2003
fu 	符	c=1 d=0.168065 t=2003
fu chou zhe 	復仇者	c=1 d=0.980199 t=2003
fu hao 	符號	c=1 d=0.869358 t=2003
fu li ye bian huan 	傅立葉變換	c=1 d=0.0837432 t=2003
fu wu 	服務	c=0 d=0.0585669 t=2003
fu wu qi 	服務器	c=2 d=0.713451 t=2003
fu yang 	福洋	c=1 d=0.778801 t=2003
fu zhi 	複製	c=1 d=0.718924 t=2003
gai lun 	概論	c=1 d=0.2334 t=2003
gai nian 	概念	c=2 d=0.980199 t=2003
gan 	感	c=0 d=0.0546074 t=2003
gan shen me 	幹什麼	c=0 d=0.0687289 t=2003
gan shen me de 	幹什麼的	c=1 d=0.690734 t=2003
gan xie 	感謝	c=1 d=1 t=1943
gang kan 	剛看	c=1 d=0.239309 t=2003
gang qu 	港區	c=1 d=0.690734 t=2003
gao liang 	高亮	c=0 d=0.0891366 t=2003
gao qing 	高清	c=2 d=1.87416 t=2003
gao su 	高速	c=0 d=0.0210136 t=2003
gao su tu fa tong xin 	高速突發通信	c=1 d=0.211189 t=2003
ge 	個	c=3 d=0.899538 t=2003
ge bie 	個別	c=0 d=0.0778801 t=2003
ge bie de 	個別的	c=1 d=0.782705 t=2003
ge bu xiang tong 	各不相同	c=1 d=0.522046 t=2003
ge ge 	各個	c=1 d=0.0411719 t=2003
ge shi 	格式	c=2 d=1.30632 t=2003
ge shi hua 	格式化	c=1 d=0.752014 t=2003
