# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6948
#@/user_id	sync-rime
f 	地	c=2 d=0.406897 t=6948
fa 	域	c=1 d=1 t=6853
fawy 	截	c=1 d=1 t=6688
faxt 	裁缝	c=1 d=0.463013 t=6948
fbfh 	地址	c=6 d=1.77296 t=6948
fbn 	地	c=3 d=0.486923 t=6948
fbut 	地道	c=2 d=0.96959 t=6948
fbyy 	地方	c=2 d=0.269145 t=6948
fcb 	却	c=1 d=0.527292 t=6948
fcbw 	去除	c=2 d=0.384812 t=6948
fce 	动	c=2 d=0.206097 t=6948
fcgl 	动画	c=1 d=0.763379 t=6948
fcij 	动漫	c=5 d=1.33797 t=6948
fcqn 	博物馆	c=1 d=0.0247235 t=6948
fcra 	喜马拉雅	c=1 d=0.66034 t=6948
fcrf 	支持	c=1 d=0.0145524 t=6948
fcrh 	去掉	c=1 d=0.0161635 t=6948
fcrt 	动手	c=1 d=0.0131675 t=6948
fctg 	运行	c=4 d=0.870149 t=6948
fctu 	云盘	c=4 d=0.711702 t=6948
fcu 	云	c=8 d=1.08126 t=6948
fcu 	去	c=3 d=0.133178 t=6948
fcyn 	动词	c=1 d=0.484325 t=6948
fdn 	城	c=1 d=0.10435 t=6948
fdsv 	需要	c=1 d=0.159613 t=6948
fdyn 	老友记	c=1 d=0.0930147 t=6948
feyy 	协议	c=1 d=0.404542 t=6948
ffgk 	土豆	c=2 d=0.829662 t=6948
ffuk 	墙	c=1 d=0.215455 t=6948
fgfg 	二十	c=1 d=0.588605 t=6948
fggy 	未	c=1 d=1 t=6527
fghg 	甘	c=1 d=0.546075 t=6948
fgtd 	未知	c=1 d=0.12938 t=6948
fgwv 	十分	c=2 d=0.385662 t=6948
fgxw 	二维	c=1 d=6.44255e-05 t=6948
fha 	越	c=3 d=0.910104 t=6948
fhgu 	起来	c=1 d=0.0841625 t=6948
fhid 	起源	c=1 d=0.278038 t=6948
fhip 	直觉	c=1 d=0.621884 t=6948
fhjg 	真是	c=1 d=0.138761 t=6948
fhn 	起	c=4 d=0.988748 t=6948
fhqe 	直角	c=2 d=0.856906 t=6948
fhru 	直接	c=3 d=0.261541 t=6948
fhu 	走	c=1 d=0.199887 t=6948
fhud 	起头	c=1 d=0.0378169 t=6948
fhxg 	直线	c=1 d=0.0124629 t=6948
fhyc 	直译	c=1 d=0.133321 t=6948
fj 	刊	c=3 d=0.505966 t=6948
fjk 	井	c=1 d=0.546075 t=6948
fjtg 	进行	c=6 d=0.362937 t=6948
fjtk 	进程	c=2 d=0.760085 t=6948
fku 	喜	c=1 d=0.231078 t=6948
fldp 	雷达	c=1 d=0.00216572 t=6948
fmuf 	南	c=1 d=0.0468877 t=6948
fnhc 	霞	c=1 d=0.0239928 t=6948
fnjy 	场景	c=11 d=0.511087 t=6948
fnrt 	场	c=1 d=0.00050296 t=6948
fny 	专	c=1 d=0.615697 t=6948
fofo 	赫	c=1 d=0.516852 t=6948
fp 	过	c=4 d=0.709091 t=6948
fpfc 	过去	c=1 d=0.000925665 t=6948
fpgf 	过于	c=1 d=0.000365224 t=6948
fpjf 	过时	c=1 d=1 t=6884
fq 	无	c=4 d=0.522432 t=6948
fqbq 	无聊	c=2 d=0.983367 t=6948
fqif 	无法	c=16 d=1.24486 t=6948
fqpy 	无礼	c=1 d=0.136695 t=6948
fqtk 	远程	c=1 d=0.0186856 t=6948
fr 	垢	c=1 d=0.941765 t=6948
frc 	坂	c=2 d=1.96531 t=6948
fsdg 	坂本龙一	c=4 d=1.82907 t=6948
fspt 	博客	c=1 d=0.275271 t=6948
fsww 	某人	c=1 d=0.499075 t=6948
ft 	才	c=3 d=0.205626 t=6948
ftbt 	教	c=1 d=0.0428521 t=6948
ftdc 	老友	c=2 d=0.183261 t=6948
fte 	雾	c=1 d=0.0590128 t=6948
ftgn 	考	c=1 d=0.565525 t=6948
ftip 	教堂	c=1 d=0.923116 t=6948
ftj 	者	c=3 d=0.19798 t=6948
ftjb 	都	c=3 d=0.306396 t=6948
ftjg 	老师	c=1 d=0.371577 t=6948
ftjg 	都是	c=4 d=0.0212407 t=6948
ftjo 	煮	c=1 d=0.148823 t=6948
fttk 	教程	c=9 d=0.742873 t=6948
ftyc 	教育	c=7 d=2.65095 t=6948
fudd 	增大	c=1 d=0.00283703 t=6948
fuxk 	增强	c=2 d=0.0982755 t=6948
fuym 	增高	c=1 d=0.208045 t=6948
fwyc 	零	c=1 d=0.680451 t=6948
g 	一	c=9 d=2.33017 t=6948
ga 	开	c=4 d=0.556808 t=6948
gae 	形	c=1 d=0.33454 t=6948
gaii 	开水	c=1 d=0.149569 t=6948
gajf 	型	c=2 d=1.22791 t=6948
gant 	开发	c=2 d=0.245239 t=6948
gard 	开拓	c=1 d=1 t=6604
gasw 	开机	c=1 d=0.301195 t=6948
gasw 	开枪	c=1 d=0.299692 t=6948
gaud 	开关	c=3 d=2.18953 t=6948
gavc 	开始	c=2 d=0.471198 t=6948
gayn 	开启	c=2 d=1.22219 t=6948
gayn 	开户	c=1 d=0.0572687 t=6948
gbgy 	玻璃	c=4 d=1.05032 t=6948
gc 	到	c=5 d=1.09202 t=6948
gcfj 	到	c=3 d=0.37809 t=6948
gcjf 	到时	c=1 d=0.063609 t=6948
gd 	天	c=3 d=2.21702 t=6948
gdaa 	表达式	c=1 d=0.0231099 t=6948
gdfu 	环境	c=5 d=0.89217 t=6948
gdgh 	天下	c=1 d=1 t=6709
gdiv 	天津	c=3 d=0.827753 t=6948
gdk 	吞	c=2 d=0.919451 t=6948
gdrt 	天气	c=9 d=1.75776 t=6948
gdtr 	天鹅	c=2 d=0.820389 t=6948
gdyg 	天主	c=1 d=0.918512 t=6948
gedp 	表达	c=7 d=1.48307 t=6948
gefi 	表示	c=3 d=0.428012 t=6948
geit 	静海	c=2 d=1.74745 t=6948
geqh 	静	c=1 d=0.0599047 t=6948
geqm 	青岛	c=1 d=0.0466538 t=6948
gest 	表格	c=1 d=0.554327 t=6948
gf 	于	c=14 d=1.39754 t=6948
gfjg 	于是	c=1 d=0.013912 t=6948
gg 	五	c=1 d=0.748264 t=6948
ggad 	一项	c=2 d=0.000123403 t=6948
ggdd 	一套	c=2 d=0.144747 t=6948
gggd 	一天	c=1 d=0.122457 t=6948
gggg 	王	c=2 d=0.943168 t=6948
gggh 	一下	c=2 d=0.516144 t=6948
gggy 	夫	c=1 d=0.400517 t=6948
gghk 	一点	c=1 d=0.170333 t=6948
gghx 	一些	c=3 d=0.674415 t=6948
ggpg 	一定	c=1 d=0.0608101 t=6948
ggrq 	替换	c=2 d=0.0159593 t=6948
ggte 	五笔	c=13 d=5.67486 t=6948
ggth 	一段	c=1 d=0.268474 t=6948
ggtk 	一种	c=6 d=0.608179 t=6948
ggtv 	五筆	c=1 d=0.814647 t=6948
ggwh 	一个	c=10 d=0.772417 t=6948
ggyn 	一遍	c=1 d=2.28856e-05 t=6948
gh 	下	c=9 d=2.2414 t=6948
ghd 	正	c=1 d=0.588605 t=6948
ghfa 	下载	c=50 d=4.51948 t=6948
ghip 	正常	c=1 d=0.494109 t=6948
ghme 	正骨	c=1 d=0.88692 t=6948
ghrq 	下的	c=1 d=0.133989 t=6948
ghth 	正版	c=1 d=1.3138e-05 t=6948
ghws 	正体	c=1 d=0.878095 t=6948
ghyy 	正文	c=1 d=0.909373 t=6948
giyi 	求	c=1 d=0.187308 t=6948
gj 	理	c=2 d=0.0562101 t=6948
gjek 	更加	c=3 d=0.629771 t=6948
gjf 	理	c=1 d=0.501576 t=6948
gjmf 	理财	c=1 d=0.0259911 t=6948
gjnt 	更改	c=1 d=0.463013 t=6948
gjrq 	更换	c=1 d=1 t=6846
gjus 	更新	c=8 d=1.53839 t=6948
gjvb 	更好	c=1 d=0.000140543 t=6948
gk 	事	c=1 d=1.46657e-05 t=6948
gkde 	带有	c=1 d=0.00532682 t=6948
gklp 	逼	c=1 d=0.0150708 t=6948
gku 	豆	c=4 d=1.73196 t=6948
gkur 	豆瓣	c=2 d=0.0199039 t=6948
gkwg 	融合	c=3 d=0.0151942 t=6948
gkwt 	事件	c=3 d=0.86051 t=6948
glbj 	画	c=1 d=0.687289 t=6948
glsr 	画板	c=1 d=0.0128425 t=6948
gm 	现	c=1 d=0.0550232 t=6948
gmap 	遭	c=1 d=0.251579 t=6948
gmdh 	现在	c=3 d=0.615697 t=6948
gmtk 	两种	c=2 d=0.0801614 t=6948
gmwa 	现代	c=1 d=0.0244775 t=6948
gmwh 	两个	c=1 d=0.474734 t=6948
gmww 	两	c=1 d=0.00631391 t=6948
gn 	与	c=8 d=1.79076 t=6948
gng 	与	c=2 d=0.380835 t=6948
gngd 	与	c=1 d=0.00634556 t=6948
go 	亚	c=2 d=0.510787 t=6948
gpiu 	于福洋	c=14 d=2.96399 t=6948
gpuy 	天安门	c=1 d=0.0349094 t=6948
gq 	万	c=1 d=0.158025 t=6948
gqge 	列表	c=2 d=1.0207 t=6948
gqj 	列	c=1 d=0.375311 t=6948
gqx 	死	c=1 d=0.0350843 t=6948
gqyw 	熬夜	c=1 d=0.214381 t=6948
gr 	珀	c=1 d=0.384812 t=6948
gsne 	末尾	c=1 d=0.0695996 t=6948
gtf 	珠	c=1 d=0.618783 t=6948
gtgq 	一系列	c=1 d=0.213312 t=6948
gu 	来	c=33 d=2.3335 t=6948
guck 	平台	c=1 d=0.310367 t=6948
gud 	夹	c=2 d=0.224248 t=6948
gugc 	来到	c=1 d=0.0241131 t=6948
guid 	来源	c=1 d=0.319819 t=6948
gupv 	平安	c=1 d=0.229926 t=6948
guqs 	平铺	c=1 d=0.511709 t=6948
gusi 	来	c=1 d=9.51553e-05 t=6948
guth 	平息	c=1 d=0.348193 t=6948
guth 	来自	c=2 d=0.723054 t=6948
gxsf 	素材	c=2 d=0.481909 t=6948
