# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.8.4
#@/tick	8092
#@/user_id	Linux
dhdh 	存在	c=3 d=1.94114 t=8092
dhdr 	还原	c=4 d=0.4932 t=8092
dhet 	不用	c=1 d=0.286505 t=8092
dhga 	不开	c=1 d=0.171187 t=8092
dhi 	不	c=11 d=6.35314 t=8092
dhjg 	不是	c=3 d=1.15122 t=8092
dhjt 	彗星	c=2 d=0.73032 t=8092
dhmg 	不同	c=7 d=0.453657 t=8092
dhsh 	不想	c=1 d=0.348193 t=8092
dhsk 	不可	c=2 d=0.0159624 t=8092
dht 	夏	c=2 d=1.25942 t=8092
dhvb 	不好	c=1 d=0.130681 t=8092
dhwf 	不会	c=1 d=0.17552 t=8092
dhxg 	在线	c=2 d=0.303645 t=8092
dide 	有没有	c=1 d=0.217621 t=8092
djoa 	百度	c=12 d=1.24704 t=8092
djtu 	百科	c=3 d=1.08959 t=8092
dkwm 	右侧	c=1 d=0.449329 t=8092
dl 	面	c=1 d=0.826959 t=8092
dm 	而	c=10 d=1.04969 t=8092
dmh 	布	c=1 d=0.000238772 t=8092
dmjg 	而是	c=1 d=0.00134011 t=8092
dmjj 	而	c=2 d=0.00769409 t=8092
dmu 	页	c=1 d=0.225373 t=8092
dmyy 	而言	c=1 d=0.000788803 t=8092
dn 	成	c=4 d=0.596703 t=8092
dnfu 	三心二意	c=3 d=2.98506 t=8092
dnye 	成为	c=1 d=0.000170803 t=8092
dou 	灰	c=2 d=0.0749691 t=8092
dp 	达	c=6 d=0.441107 t=8092
dpgc 	达到	c=4 d=0.026233 t=8092
dr 	原	c=11 d=6.10961 t=8092
drgj 	原理	c=2 d=0.890016 t=8092
dri 	原	c=5 d=3.9597 t=8092
drii 	原	c=2 d=0.934451 t=8092
drpu 	原初	c=1 d=0.701173 t=8092
druj 	愿意	c=1 d=0.438235 t=8092
drvc 	原始	c=3 d=0.0542336 t=8092
dsat 	不可或缺	c=1 d=0.000173385 t=8092
dsyo 	奇迹	c=3 d=1.2198 t=8092
dtbh 	帮	c=3 d=1.33312 t=8092
dtdh 	不得不	c=1 d=0.532592 t=8092
dteg 	帮助	c=1 d=0.694197 t=8092
dtqd 	大自然	c=1 d=0.32628 t=8092
dttq 	故称	c=1 d=0.436049 t=8092
dw 	其	c=8 d=0.443473 t=8092
dwbd 	奉承	c=1 d=0.597501 t=8092
dwdb 	基础	c=1 d=0.180866 t=8092
dwf 	基	c=3 d=0.713585 t=8092
dwfj 	期刊	c=7 d=0.975427 t=8092
dwfu 	其境	c=1 d=0.970446 t=8092
dwg 	奉	c=1 d=0.56836 t=8092
dwgc 	甚至	c=1 d=0.136014 t=8092
dwgf 	基于	c=16 d=0.729763 t=8092
dwkh 	其中	c=1 d=0.0480747 t=8092
dwpx 	其它	c=2 d=0.975819 t=8092
dwqq 	基金	c=1 d=0.156453 t=8092
dwr 	斯	c=4 d=0.418991 t=8092
dwuq 	其次	c=2 d=0.428165 t=8092
dx 	龙	c=4 d=2.16142 t=8092
dxgg 	龙一	c=1 d=0.960789 t=8092
dy 	太	c=3 d=1.92716 t=8092
dyfp 	太过	c=1 d=0.133989 t=8092
dynj 	太慢	c=1 d=0.321423 t=8092
e 	有	c=33 d=3.94426 t=8092
ea 	肛	c=1 d=0.932394 t=8092
ebte 	服务	c=1 d=0.447088 t=8092
eedc 	朋友	c=1 d=0.453845 t=8092
eee 	月	c=1 d=0.043937 t=8092
eeee 	月	c=1 d=0.755784 t=8092
efcb 	脚	c=1 d=0.715338 t=8092
efsg 	脚本	c=2 d=1.41802 t=8092
eg 	且	c=1 d=0.00527382 t=8092
egmh 	肺	c=1 d=0.078082 t=8092
ekcg 	驾驶	c=1 d=0.000437253 t=8092
ekfa 	加载	c=5 d=1.9036 t=8092
ekhh 	加上	c=1 d=0.955997 t=8092
ekip 	加深	c=3 d=0.00283362 t=8092
ekoe 	加粗	c=1 d=0.453845 t=8092
eksq 	架构	c=5 d=0.0163083 t=8092
ekty 	加入	c=1 d=0.0175975 t=8092
en 	力	c=3 d=2.43069 t=8092
ensf 	鼠标	c=7 d=3.54336 t=8092
epc 	受	c=2 d=0.00879425 t=8092
epdc 	爱	c=1 d=0.034562 t=8092
epng 	爱情	c=1 d=1 t=8092
epnt 	愛	c=1 d=0.477114 t=8092
epsa 	边框	c=2 d=0.77737 t=8092
eset 	采用	c=4 d=0.384072 t=8092
essu 	采样	c=1 d=0.224248 t=8092
eswy 	采集	c=1 d=0.138069 t=8092
et 	用	c=13 d=2.41812 t=8092
etgf 	用于	c=13 d=2.44806 t=8092
etgn 	毛	c=6 d=1.47249 t=8092
etif 	用法	c=1 d=0.591555 t=8092
etkk 	服务器	c=1 d=0.0867255 t=8092
etyn 	用户	c=6 d=4.1407 t=8092
euyn 	腾讯	c=1 d=0.532592 t=8092
ewdd 	加拿大	c=1 d=0.349938 t=8092
ewhh 	脸上	c=1 d=0.535261 t=8092
