# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5035
#@/user_id	salt-linux
a 	啊	c=5 d=2.59854 t=5035
bu ke 	不可	c=0 d=0.0737123 t=5035
bu ke yong 	不可用	c=1 d=0.740818 t=5035
bu neng 	不能	c=2 d=1.23876 t=5035
bu pa 	不怕	c=0 d=0.0251579 t=5035
bu quan 	補全	c=1 d=0.321208 t=5035
bu shang 	不上	c=1 d=0.00207043 t=5035
bu shu 	部署	c=2 d=0.703642 t=5035
bu tai 	不太	c=0 d=0.099005 t=5035
bu tai leng 	不太冷	c=1 d=0.995012 t=5035
bu tong 	不同	c=0 d=0.0363462 t=5035
bu tong de 	不同的	c=3 d=0.398431 t=5035
bu tong wei zhi 	不同位置	c=1 d=0.362402 t=5035
bu tong zhi chu 	不同之處	c=1 d=0.00194013 t=5035
bu wen ding 	不穩定	c=0 d=0.00244775 t=5035
bu wen ding yin su 	不穩定因素	c=1 d=0.0246002 t=5035
bu xi huan 	不喜歡	c=2 d=0.0721426 t=5035
bu xi huan zhe ge zhuan ye 	不喜歡這個專業	c=1 d=0.179066 t=5035
bu xia qu 	不下去	c=0 d=0.0136695 t=5035
bu xian shi 	不顯示	c=1 d=0.852144 t=5035
bu xiang 	不想	c=0 d=0.0170333 t=5035
bu xiang guan 	不相關	c=0 d=0.0882497 t=5035
bu xiang guan xin xi 	不相關信息	c=1 d=0.88692 t=5035
bu xiang xue xi 	不想學習	c=1 d=0.171187 t=5035
bu xiu 	不休	c=1 d=0.267135 t=5035
bu xu yao 	不需要	c=3 d=0.501289 t=5035
bu yao 	不要	c=0 d=0.0980199 t=5035
bu yao shi yong 	不要使用	c=1 d=0.985112 t=5035
bu za yang 	不咋樣	c=1 d=0.145148 t=5035
bu zai 	不再	c=1 d=0.304221 t=5035
bu zhi 	不止	c=0 d=0.00281559 t=5035
bu zhi 	不知	c=1 d=0.269904 t=5035
bu zhi shi 	不只是	c=1 d=0.261846 t=5035
bu zhi yi li 	不止一例	c=1 d=0.028297 t=5035
bu zhou 	步驟	c=1 d=0.755784 t=5035
cai gan 	才幹	c=0 d=0.0236928 t=5035
cai hui 	纔會	c=0 d=0.0351692 t=5035
cai ji 	採集	c=1 d=0.209088 t=5035
cai ke yi 	纔可以	c=1 d=0.00600598 t=5035
cai neng 	才能	c=3 d=0.621885 t=5035
cai qu 	採取	c=0 d=0.066034 t=5035
cai qu le 	採取了	c=1 d=0.66365 t=5035
cai yong 	採用	c=2 d=0.447088 t=5035
cai yun 	彩雲	c=3 d=1.98355 t=5035
can cha 	慘差	c=1 d=0.214381 t=5035
can cha 	殘差	c=1 d=0.358796 t=5035
can kao 	參考	c=2 d=1 t=5035
can kao wen xian 	參考文獻	c=1 d=0.486752 t=5035
can shu 	參數	c=13 d=4.69382 t=5035
cang jie 	倉頡	c=2 d=1.22841 t=5035
